date,headline,news,pdf-pill-label (2),text-nowrap,endless_more href,endless_more,minorchange (6),minorchange (7),minorchange (8),loginModal href,cblack href,cblack,pp-restricted-content href,pp-restricted-content,hidden-premium-post,hidden-premium-post href,hidden-premium-post (2),hidden-premium-post (3),pp-readmore-btn src,hideForSubscriber,minorchange (9),minorchange (10),card-block (3),card-block href,card-block (4),card-block href (2),card-block href (3),card-block (5),card-block (6),card-block href (4),card-block (7),card-block (8),card-block (9),card-block (10),card-block (11),card-block (12),card-title,card-block (50),card-block (51),gr href
"14 Oct 2024, 12:14PM","Q2 Results Live Updates: RIL, HCLTech Among Key Earnings On Traders Radar","Reliance Industries is likely to report a net profit of Rs 18,813.9 crore and a revenue of Rs 2.35 lakh crore for the September quarter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14 Oct 2024, 11:46AM",Jio Prepaid Recharge Plans: Check Latest Recharge Offers In October 2024,Jio has also rolled out mid-year prepaid recharge plans for those who want longer validity but can't commit to an annual subscription.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14 Oct 2024, 09:32AM","RIL Q2 preview: Refining weighs on profits, Jio and Retail to drive modest gains","The telecom segment, led by Reliance Jio, is poised for growth with an expected ARPU of 183.5, benefiting from recent price hikes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14 Oct 2024, 08:46AM",Mukesh Ambani's Reliance Industries eyeing a slice of Karan Johar's Dharma Productions: Report,Mukesh Ambani-led Reliance Industries aims to strengthen its position in the content production industry through the deal with Karan Johar's Dharma Productions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Oct 2024,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Oct 2024,"Reliance Industries Q2 Preview: Weak O2C Segment To Drag Ebitda, Say Analysts",The O2C and upstream oil and gas segments contributed 53% to Reliance Industries' consolidated Ebitda in fiscal 2024.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Oct 2024,"Forbes 2024: Ambani leads, Adani gains big, India's rich hit new high","This year marks a milestone for India's wealthiest, as the collective wealth of top 100 richest Indians crossed $1 trillion for the first time. Mukesh Ambani tops Forbes' 2024 List as India's richest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 Oct 2024,Jio Payments Bank gets mutual funds distribution licence from Amfi,"The move is part of Jio Financial Services' plan to broaden its presence in the financial services industry, including asset and wealth management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 Oct 2024,RELIANCE INDUSTRIES LTD. - 500325 - Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 Oct 2024,Q2 result preview: O2C business may drag RIL to another weak quarter,"May be partially offset by strong performance in telecom, retail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 Oct 2024,BIF opposes Jio's demand of revising consultation paper on Satcom rules,"Industry body Broadband India Forum on Tuesday opposed Reliance Jio's demand for revising the consultation paper on Satcom spectrum rules. Reliance Jio has urged telecom regulator Trai to come up with a revised paper on spectrum allocation for satellite communication, alleging that it ignores the key points of ensuring a level-playing field between satellite and terrestrial services. Without naming Reliance Jio, Broadband India Forum (BIF) said the argument for a 'level playing field' between satellite-based and terrestrial communication services is fundamentally flawed, demonstrating a profound misunderstanding of the technologies and the law. ""In a desperate attempt to confuse all, stakeholders' have questioned the regulator's preference or 'tilting of preference' on the administrative allocation of satellite spectrum, advocating for auctioning such airwaves. ""This seems to be a direct defiance of the Telecommunications Act passed by the highest legislative authority of the count",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 Oct 2024,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 Oct 2024,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 Oct 2024,"India's Top 10 Most-Valued Firms Gain Nearly Rs 78,000 Crore In Market Cap, Led By RIL, HDFC Bank","Reliance Industries gained 38,903 crore in market capitalisation to Rs 18.93 lakh crore and HDFC Bank's market cap increased by Rs 25,517 crore to Rs 12.59 lakh crore.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 Oct 2024,Oil And Gas Q2 Earnings Preview - To Be A Mixed Quarter: Dolat Capital,"Reliance Industries' oil-to-chemical and OMC Ebitda is expected to be weaker due to sharp fall in GRM, crude inventory loss, subdued petrochemical margins, adds the brokerage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 Oct 2024,RELIANCE INDUSTRIES LTD. - 500325 - Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 Oct 2024,RELIANCE INDUSTRIES LTD. - 500325 - Board Meeting Intimation for Consideration And Approval Of The Standalone …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 Oct 2024,Jio seeks changes in consultation paper of satellite spectrum allocation,"Reliance Jio has urged telecom regulator Trai to come up with a revised paper on spectrum allocation for satellite communication alleging that it ignores the key point of ensuring level-playing field between satellite and terrestrial services. In a letter to Telecom Regulatory Authority of India (Trai) Chairman, Anil Kumar Lahoti, Reliance Jio has sought revision of the consultation paper on recommending rules for ""terms and conditions for the assignment of spectrum for certain satellite-based commercial communication services"". ""We are surprised that the consultation paper has completely overlooked the critical issue of ensuring level-playing field between satellite-based and terrestrial access services. This omission has resulted in the lack of any questions addressing the need to create a level-playing field between these services,"" Reliance Jio (RJIL) said in a letter dated October 4. Jio said that due to the omission of this point, stakeholders will not be able to adequately ..",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 Oct 2024,"How fraudsters use deepfakes of Virat Kohli, Ambani to scam you: Explained","Scammers are setting up over 1,000 phishing domains daily and creating deepfake videos of well-known Indian personalities like Mukesh Ambani and Virat Kohli to push dubious gaming apps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 Oct 2024,"Scammers creating 1,000 phishing domains a day, celebs deepfake videos","Scammers are registering over 1,000 phishing domains every day and creating deepfake videos of prominent Indian personalities such as Mukesh Ambani, Virat Kohli, etc to promote dubious gamings apps, cyber security firm CloudSEK said on Friday. The deepfake videos use manipulated footage of famous news anchors to create fake news videos of prominent personalities to endorse dubious apps, the CloudSEK report said. "" Scammers are not only using deepfake videos to lure people to download the dubious app but have also created a fake Play Store to appear genuine. Research shows over 1000 phishing domains are being created every day to cheat netizens of over seven countries,"" the report said. The cyber security firm said that by leveraging its deepfake detection technology research team has identified a series of deceptive campaigns targeting users in India, Pakistan, Nigeria, Saudi Arabia, and beyond for promoting a fake gaming app. ""Prominent figures such as Mukesh Ambani, Virat Kohli, .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 Oct 2024,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 Oct 2024,'RIL's New Energy Business Moving Behind Vs Expectations In FY24': Probal Sen Tells | NDTV Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 Oct 2024,Reliance Industries Share Price Slips Amid Concerns Over New Energy Business,"Reliance Industries share price fell as much as 1.79% to Rs 2,763.55 apiece. It pared losses to trade 0.27% lower at Rs 2,806.25 apiece, as of 10:14 a.m.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 Oct 2024,BP to continue with Ambani firm even after exclusivity with Reliance ends,"Global supermajor BP Plc's exclusivity with Reliance Industries Ltd has ended but the energy giant will continue to pursue oil and gas as well as mobility ventures in India with the Mukesh Ambani firm owing to an unwritten strategic partnership, BP's outgoing India head Sashi Mukundan said. BP in 2011 spent USD 7.2 billion to acquire 30 per cent interest in 23 oil and gas blocks of Reliance. Eastern offshore KG-D6 block was the cornerstone of the deal that also provided for a 10-year exclusivity period which meant that BP would take up energy projects or investments in India only in partnership with Reliance. The firm has so far invested more than USD 12 billion across the energy value chain including bringing on stream three new deepwater natural gas projects in KG-D6 that account for one-third of India's gas production. ""We started working with Reliance as early as 2005 when first (the then BP CEO) Lord John Browne visited India,"" Mukundan said. It finally fructified in the 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 Oct 2024,"India vs Bangladesh T20 series full schedule, venues, timings, streaming","India vs Bangladesh live match during the three-match T20 International series will begin at 7 PM IST. Jio Cinema will live stream IND vs BAN T20 series in nine languages, including Hindi and English.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 Oct 2024,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 Oct 2024,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 Oct 2024,Reliance Industries Share Price Live Updates: Reliance Industries stock trades flat,"Reliance Stocks, Reliance Industries Share Price/ RIL Share Price Live Updates October 01, 2024: Mukesh Ambani-led Reliance Industries stock price in focus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 Sep 2024,"Reliance gas price hiked to $10.16, CNG, piped cooking gas rates unchanged","The government on Monday raised the price of natural gas produced from difficult areas like deep sea KG-D6 block of Reliance Industries, marginally to USD 10.16 per million British thermal unit in line with international trends, an official notification said. However, the price of gas that is used for making CNG for fuelling automobiles or piping to household kitchens for cooking purposes will remain unchanged due to a price cap that is set at 30 per cent less than market rates such as that paid to Reliance. For the six-month period starting October 1, the price of gas from deep sea and high-pressure, high-temperature (HPTP) areas has been raised to USD 10.16 per mmBtu from USD 9.87 per mmBtu during April-September, oil ministry's Petroleum Planning and Analysis Cell (PPAC) said in a notification. The increase follows three straight bi-annual reductions in rates for difficult fields. Price was for six months beginning October 1, 2023, slashed 18 per cent to USD 9.96 per mmBtu from U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Closure of Trading Window,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 Sep 2024,"India's Top 10 Most-Valued Firms Lose Rs 1,64,121 Crore In Market Cap As RIL, ICICI Bank Drag","Reliance Industries lose Rs 63,835 crore in market capitalisation to Rs 20.01 lakh crore and ICICI Bank lose Rs 22,972 crore with its market cap lose to Rs 8.96 lakh crore.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 Sep 2024,"RIL shares fall over 3%, end as top Sensex loser as investors book profit","RIL share: A total of 13.82 million RIL shares, valued at over Rs 3,000 crore, traded on both the NSE and BSE today",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 Sep 2024,"An approval sets the stage for Mukesh Ambani's showdown with Sony, Netflix, and Amazon",The Ministry of Information and Broadcasting has approved Reliance Industries Limited's (RIL) transfer of non-news and current affairs TV channels.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 Sep 2024,"RELIANCE INDUSTRIES LTD. - 500325 - Update To Media Release Filed On February 28, 2024 And …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Disclosure Under Regulation 30 Of The Securities And Exchange Board …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Sep 2024,"RIL's Campa Cola takes on the cola leaders on price, reach",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26 Sep 2024,"Top 10 Most-Valued Firms Gain Rs 43,529 Crore In Market Cap, Led By Reliance Industries, HUL.","Reliance Industries gained Rs 13,599 crore in market capitalisation to Rs 20.35 lakh crore and HUL gained Rs 9.856 crore with its market cap gain to Rs 7.02 lakh crore.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26 Sep 2024,"Anant Mukesh Ambani, BP CEO open Jio-bp's 500th EV-charging station","Anant Mukesh Ambani, Director, Reliance Industries Limited (RIL) and Murray Auchincloss, CEO, bp, on Thursday inaugurated the 500th Jio-bp pulse EV-charging station of Jio-bp. Jio-bp is a fuels and mobility joint venture between RIL and global energy giant BP. ""The commissioning of the EV-charging station enables access for guests at the Nita Mukesh Ambani Cultural Centre, Jio World Plaza and Jio World Convention Centre in Bandra Kurla Complex (BKC), Mumbai, marking the installation of the 500th Jio-bp pulse charging point in India,"" a company statement said. Jio-bp has expanded its network of EV-charging stations at a rapid pace, growing from 1,300 to 5,000 in just a year. With 95 per cent of its EV-charging network comprising fast charging stations -- the highest in the industry -- the company is poised to deliver high speed electrons with unmatched industry-leading uptime of 96 per cent, establishing itself as the country's most reliable charging network, it said. Jio-bp is als",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Update On Institutional Investors' Meeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Announcement under Regulation 30 (LODR)-Newspaper Publication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Extension Of Last Date For Payment Of Unpaid Call Money …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 Sep 2024,Thousands of RJio users affected by network outage,"Jio said the outage, caused by a minor technical issue', had been resolved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Update On Institutional Investors' Meeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Newspaper Clippings - Postal Ballot Notice And Other Related Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13 Sep 2024, 07:12PM",RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13 Sep 2024, 06:09PM","Reliance Jio, Airtel to join Ericsson's global venture to sell network APIs","Set to begin by early 2025, venture includes 12 major telcos globally",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13 Sep 2024, 04:32PM",RELIANCE INDUSTRIES LTD. - 500325 - Shareholder Meeting / Postal Ballot-Notice of Postal Ballot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13 Sep 2024, 01:06PM",Armani/Caffe makes India debut with launch at Jio World Plaza in Mumbai,"Reliance Retail launched India's first Armani cafe at Jio World Plaza in Mumbai. The upscale cafe, Italian fashion house Giorgio Armani, features designer's favourite dishes, and 52 imported wines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12 Sep 2024, 08:29PM",RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12 Sep 2024, 06:03PM",RELIANCE INDUSTRIES LTD. - 500325 - Disclosure Under Regulation 30 Of The Securities And Exchange Board …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Sep 2024,Mukesh Ambani reaches Mumbai hospital to visit Deepika-Ranveer's baby girl,Mukesh Ambani visited Deepika Padukone and Ranveer Singh in hospital last night to congratulate the couple and bless the newborn. The B'wood couple became parents to a baby girl on Sept 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - News Clarification - 'Reliance In Pact With Israeli Apparel Company …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Update On Institutional Investors' Meeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Sep 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Sep 2024,"RELIANCE INDUSTRIES LTD. - 500325 - Media Release By Reliance Retail Ventures Limited, A Subsidiary Of …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Announcement under Regulation 30 (LODR)-Newspaper Publication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
